title,address,coordinates,id,metro,additionalAddress,seoname,ratingData,categories,phones,socialLinks,urls
МТмотоспорт,"Москва, 4-й Лихачёвский переулок","[37.531407, 55.858409]",4984825364,"[{""id"": ""1727535571"", ""name"": ""Лихоборы"", ""distance"": ""2,2 км"", ""distanceValue"": 2203.77, ""coordinates"": [37.55177281, 55.848426753], ""type"": ""metro"", ""color"": ""#ff4c4c""}, {""id"": ""2244536875"", ""name"": ""Селигерская"", ""distance"": ""2,43 км"", ""distanceValue"": 2425.76, ""coordinates"": [37.54630356, 55.865232427], ""type"": ""metro"", ""color"": ""#9fbf00""}, {""id"": ""1727533131"", ""name"": ""Коптево"", ""distance"": ""2,5 км"", ""distanceValue"": 2495.09, ""coordinates"": [37.520785689, 55.840951472], ""type"": ""metro"", ""color"": ""#ff4c4c""}]",Мотошкола находится под эстакадой,mtmotosport,"{""ratingCount"": 458, ""ratingValue"": 5, ""reviewCount"": 375}","[{""id"": ""132743426043"", ""name"": ""Мотошкола"", ""class"": ""driving school"", ""seoname"": ""motorcycle_school"", ""pluralName"": ""Мотошколы""}]","[{""number"": ""+7 (926) 147-54-94"", ""type"": ""phone"", ""value"": ""+79261475494"", ""info"": ""ежедневно с 10.00 до 22.00""}]","[{""type"": ""vkontakte"", ""href"": ""https://vk.com/mtmoto"", ""readableHref"": ""vk.com/mtmoto""}, {""type"": ""telegram"", ""href"": ""https://t.me/mtmotosport"", ""readableHref"": ""@mtmotosport""}, {""type"": ""whatsapp"", ""href"": ""https://wa.me/79261475494?text=%D0%9E%D0%B1%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%B8%D0%B5+%E2%84%96B8752638+%D0%B8%D0%B7+%D0%AF%D0%BD%D0%B4%D0%B5%D0%BA%D1%81+%D0%9A%D0%B0%D1%80%D1%82%0A%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!+%D0%9C%D0%B5%D0%BD%D1%8F+%D0%B7%D0%B0%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%B5%D1%81%D0%BE%D0%B2%D0%B0%D0%BB%D0%BE+%D0%B2%D0%B0%D1%88%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5"", ""readableHref"": ""+79261475494""}, {""type"": ""youtube"", ""href"": ""https://www.youtube.com/channel/UC9dJGbPew8ZUqmAUv41cY1A"", ""readableHref"": ""www.youtube.com/@UC9dJGbPew8ZUqmAUv41cY1A""}]","[""https://mtmotosport.ru/?yclid=6909829568816480255&utm_content=15935267219&utm_source=geoadv_maps""]"
Сигнал,"Вешняковская ул., 22А","[37.822219, 55.72017]",1204593582,"[{""id"": ""station__9858807"", ""name"": ""Выхино"", ""distance"": ""720 м"", ""distanceValue"": 715.36, ""coordinates"": [37.817528157, 55.716381189], ""type"": ""metro"", ""color"": ""#8647b2""}, {""id"": ""3974054010"", ""name"": ""Юго-Восточная"", ""distance"": ""2,17 км"", ""distanceValue"": 2174.11, ""coordinates"": [37.817828605, 55.705797729], ""type"": ""metro"", ""color"": ""#e66ac0""}, {""id"": ""station__9858898"", ""name"": ""Рязанский проспект"", ""distance"": ""2,55 км"", ""distanceValue"": 2549.6, ""coordinates"": [37.7937975, 55.717681221], ""type"": ""metro"", ""color"": ""#8647b2""}]",,signal,"{""ratingCount"": 208, ""ratingValue"": 5, ""reviewCount"": 150}","[{""id"": ""184105264"", ""name"": ""Автошкола"", ""class"": ""driving school"", ""seoname"": ""driving_school"", ""pluralName"": ""Автошколы""}, {""id"": ""132743426043"", ""name"": ""мотошкола"", ""class"": ""driving school"", ""seoname"": ""motorcycle_school"", ""pluralName"": ""Мотошколы""}]","[{""number"": ""+7 (499) 755-97-95"", ""type"": ""phone"", ""value"": ""+74997559795""}, {""number"": ""+7 (926) 900-00-48"", ""type"": ""phone"", ""value"": ""+79269000048""}]","[{""type"": ""telegram"", ""href"": ""https://t.me/+79269000048"", ""readableHref"": ""@+79269000048""}, {""type"": ""viber"", ""href"": ""https://viber.click/79269000048"", ""readableHref"": ""viber.click/79269000048""}, {""type"": ""vkontakte"", ""href"": ""https://vk.com/signal77ru"", ""readableHref"": ""vk.com/signal77ru""}, {""type"": ""whatsapp"", ""href"": ""https://wa.me/79269000048?text=%D0%9E%D0%B1%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%B8%D0%B5+%E2%84%96B52546465+%D0%B8%D0%B7+%D0%AF%D0%BD%D0%B4%D0%B5%D0%BA%D1%81+%D0%9A%D0%B0%D1%80%D1%82%0A%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!+%D0%9C%D0%B5%D0%BD%D1%8F+%D0%B7%D0%B0%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%B5%D1%81%D0%BE%D0%B2%D0%B0%D0%BB%D0%BE+%D0%B2%D0%B0%D1%88%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5"", ""readableHref"": ""+79269000048""}]","[""http://www.signal77.ru/?yclid=4616213138427871231&utm_content=17538127329&utm_source=geoadv_maps""]"
Топаз,"Верхняя Первомайская ул., 14","[37.790699, 55.798625]",1089887387,"[{""id"": ""station__9858877"", ""name"": ""Первомайская"", ""distance"": ""850 м"", ""distanceValue"": 854.573, ""coordinates"": [37.798978165, 55.795723918], ""type"": ""metro"", ""color"": ""#0070bf""}, {""id"": ""station__9858947"", ""name"": ""Щёлковская"", ""distance"": ""1,58 км"", ""distanceValue"": 1584.78, ""coordinates"": [37.798427296, 55.808340106], ""type"": ""metro"", ""color"": ""#0070bf""}, {""id"": ""station__9858814"", ""name"": ""Измайловская"", ""distance"": ""1,68 км"", ""distanceValue"": 1684.25, ""coordinates"": [37.783309609, 55.787925206], ""type"": ""metro"", ""color"": ""#0070bf""}]",,topaz,"{""ratingCount"": 187, ""ratingValue"": 5, ""reviewCount"": 110}","[{""id"": ""184105264"", ""name"": ""Автошкола"", ""class"": ""driving school"", ""seoname"": ""driving_school"", ""pluralName"": ""Автошколы""}, {""id"": ""132743426043"", ""name"": ""мотошкола"", ""class"": ""driving school"", ""seoname"": ""motorcycle_school"", ""pluralName"": ""Мотошколы""}, {""id"": ""214421065055"", ""name"": ""автодром"", ""class"": ""racing"", ""seoname"": ""motordrome"", ""pluralName"": ""Автодромы""}]","[{""number"": ""+7 (967) 752-22-22"", ""type"": ""phone"", ""value"": ""+79677522222"", ""info"": ""филиал на Первомайской""}, {""number"": ""+7 (499) 163-61-91"", ""type"": ""phone"", ""value"": ""+74991636191""}]","[{""type"": ""telegram"", ""href"": ""https://t.me/Avtoshkola_Topaz"", ""readableHref"": ""@Avtoshkola_Topaz""}, {""type"": ""vkontakte"", ""href"": ""https://vk.com/topaz.avto"", ""readableHref"": ""vk.com/topaz.avto""}, {""type"": ""whatsapp"", ""href"": ""https://wa.me/79581223222?text=%D0%9E%D0%B1%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%B8%D0%B5+%E2%84%96B53819952+%D0%B8%D0%B7+%D0%AF%D0%BD%D0%B4%D0%B5%D0%BA%D1%81+%D0%9A%D0%B0%D1%80%D1%82%0A%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!+%D0%9C%D0%B5%D0%BD%D1%8F+%D0%B7%D0%B0%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%B5%D1%81%D0%BE%D0%B2%D0%B0%D0%BB%D0%BE+%D0%B2%D0%B0%D1%88%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5"", ""readableHref"": ""+79581223222""}, {""type"": ""max"", ""href"": ""https://max.ru/u/f9LHodD0cOKH1HDGqBlY4YTQEAgp5hTFgUTjbachJKNdRsR-I08x_s0FXwU"", ""readableHref"": ""max.ru/u/f9LHodD0cOKH1HDGqBlY4YTQEAgp5hTFgUTjbachJKNdRsR-I08x_s0FXwU""}]","[""https://topaz-auvto.ru/?yclid=171853842718130175&utm_content=17627231661&utm_source=geoadv_maps""]"
Норд-Вест,"Заречная ул., 9","[37.506583, 55.754917]",1799760015,"[{""id"": ""station__9858936"", ""name"": ""Фили"", ""distance"": ""1,21 км"", ""distanceValue"": 1205.96, ""coordinates"": [37.514104273, 55.746886479], ""type"": ""metro"", ""color"": ""#21abd9""}, {""id"": ""1727708541"", ""name"": ""Шелепиха"", ""distance"": ""1,61 км"", ""distanceValue"": 1605.86, ""coordinates"": [37.525057208, 55.7561498], ""type"": ""metro"", ""color"": ""#ff4c4c""}, {""id"": ""station__9858782"", ""name"": ""Багратионовская"", ""distance"": ""1,85 км"", ""distanceValue"": 1845.33, ""coordinates"": [37.498174451, 55.743873561], ""type"": ""metro"", ""color"": ""#21abd9""}]","этаж 2, помещение 209",nord_vest,"{""ratingCount"": 335, ""ratingValue"": 5, ""reviewCount"": 185}","[{""id"": ""184105264"", ""name"": ""Автошкола"", ""class"": ""driving school"", ""seoname"": ""driving_school"", ""pluralName"": ""Автошколы""}, {""id"": ""132743426043"", ""name"": ""мотошкола"", ""class"": ""driving school"", ""seoname"": ""motorcycle_school"", ""pluralName"": ""Мотошколы""}]","[{""number"": ""+7 (499) 715-42-82"", ""type"": ""phone"", ""value"": ""+74997154282"", ""info"": ""+7(499)653-54-78""}, {""number"": ""+7 (985) 256-72-00"", ""type"": ""phone"", ""value"": ""+79852567200""}]","[{""type"": ""vkontakte"", ""href"": ""https://vk.com/anordwest"", ""readableHref"": ""vk.com/anordwest""}, {""type"": ""whatsapp"", ""href"": ""https://wa.me/79852567200?text=%D0%9E%D0%B1%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%B8%D0%B5+%E2%84%96B5408234+%D0%B8%D0%B7+%D0%AF%D0%BD%D0%B4%D0%B5%D0%BA%D1%81+%D0%9A%D0%B0%D1%80%D1%82%0A%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!+%D0%9C%D0%B5%D0%BD%D1%8F+%D0%B7%D0%B0%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%B5%D1%81%D0%BE%D0%B2%D0%B0%D0%BB%D0%BE+%D0%B2%D0%B0%D1%88%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5"", ""readableHref"": ""+79852567200""}, {""type"": ""telegram"", ""href"": ""https://t.me/avtoshkola_v_fili"", ""readableHref"": ""@avtoshkola_v_fili""}]",
"Технологический колледж № 21, автошкола","Вербная ул., 4, стр. 2","[37.777509, 55.824]",1103759361,"[{""id"": ""station__9858947"", ""name"": ""Щёлковская"", ""distance"": ""2,68 км"", ""distanceValue"": 2678.62, ""coordinates"": [37.798273615, 55.810649917], ""type"": ""metro"", ""color"": ""#0070bf""}, {""id"": ""station__9858932"", ""name"": ""Бульвар Рокоссовского"", ""distance"": ""3,4 км"", ""distanceValue"": 3360.9, ""coordinates"": [37.735606659, 55.814140106], ""type"": ""metro"", ""color"": ""#f23d30""}, {""id"": ""1727551201"", ""name"": ""Бульвар Рокоссовского"", ""distance"": ""3,6 км"", ""distanceValue"": 3555.13, ""coordinates"": [37.737517279, 55.815756274], ""type"": ""metro"", ""color"": ""#ff4c4c""}]",этаж 2,tekhnologicheskiy_kolledzh_21_avtoshkola,"{""ratingCount"": 559, ""ratingValue"": 5, ""reviewCount"": 235}","[{""id"": ""184105264"", ""name"": ""Автошкола"", ""class"": ""driving school"", ""seoname"": ""driving_school"", ""pluralName"": ""Автошколы""}, {""id"": ""132743426043"", ""name"": ""мотошкола"", ""class"": ""driving school"", ""seoname"": ""motorcycle_school"", ""pluralName"": ""Мотошколы""}]","[{""number"": ""+7 (499) 653-77-99"", ""type"": ""phone"", ""value"": ""+74996537799""}]",,"[""http://tk21avto.ru/?yclid=14633614351212740607&utm_content=17555291749&utm_source=geoadv_maps""]"
КТМ,"ул. Дмитрия Ульянова, 16, корп. 1","[37.569822, 55.688344]",174418072954,"[{""id"": ""station__9858773"", ""name"": ""Академическая"", ""distance"": ""279 м"", ""distanceValue"": 279.556, ""coordinates"": [37.572404112, 55.687227912], ""type"": ""metro"", ""color"": ""#f28b24""}, {""id"": ""6632994918"", ""name"": ""Академическая"", ""distance"": ""360 м"", ""distanceValue"": 363.961, ""coordinates"": [37.574597928, 55.687069509], ""type"": ""metro"", ""color"": ""#177245""}, {""id"": ""station__9858893"", ""name"": ""Профсоюзная"", ""distance"": ""1,36 км"", ""distanceValue"": 1357.75, ""coordinates"": [37.563562262, 55.678919165], ""type"": ""metro"", ""color"": ""#f28b24""}]","Вход с торца здания, чёрное крыльцо, этаж 2",ktm,"{""ratingCount"": 200, ""ratingValue"": 5, ""reviewCount"": 169}","[{""id"": ""132743426043"", ""name"": ""Мотошкола"", ""class"": ""driving school"", ""seoname"": ""motorcycle_school"", ""pluralName"": ""Мотошколы""}, {""id"": ""184105264"", ""name"": ""автошкола"", ""class"": ""driving school"", ""seoname"": ""driving_school"", ""pluralName"": ""Автошколы""}]","[{""number"": ""+7 (495) 157-27-53"", ""type"": ""phone"", ""value"": ""+74951572753""}, {""number"": ""+7 (929) 659-17-70"", ""type"": ""phone"", ""value"": ""+79296591770""}]","[{""type"": ""vkontakte"", ""href"": ""http://vk.com/motoshkolaktm"", ""readableHref"": ""vk.com/motoshkolaktm""}, {""type"": ""telegram"", ""href"": ""https://t.me/+79257180463"", ""readableHref"": ""@+79257180463""}]","[""https://motoshkolaktm.ru/?yclid=3573955216267804671&utm_content=16472375692&utm_source=geoadv_maps""]"
Автошкола № 1,"просп. Будённого, 30А","[37.734624, 55.761408]",182508936635,"[{""id"": ""1727555921"", ""name"": ""Шоссе Энтузиастов"", ""distance"": ""1,07 км"", ""distanceValue"": 1070.4, ""coordinates"": [37.745454652, 55.758974477], ""type"": ""metro"", ""color"": ""#ff4c4c""}, {""id"": ""1727554891"", ""name"": ""Соколиная Гора"", ""distance"": ""1,38 км"", ""distanceValue"": 1382.45, ""coordinates"": [37.744603399, 55.769655908], ""type"": ""metro"", ""color"": ""#ff4c4c""}, {""id"": ""station__9858946"", ""name"": ""Шоссе Энтузиастов"", ""distance"": ""1,49 км"", ""distanceValue"": 1488.09, ""coordinates"": [37.751195354, 55.758437002], ""type"": ""metro"", ""color"": ""#ffd000""}]",,avtoshkola_1,"{""ratingCount"": 49, ""ratingValue"": 4.800000190734863, ""reviewCount"": 23}","[{""id"": ""184105264"", ""name"": ""Автошкола"", ""class"": ""driving school"", ""seoname"": ""driving_school"", ""pluralName"": ""Автошколы""}, {""id"": ""132743426043"", ""name"": ""мотошкола"", ""class"": ""driving school"", ""seoname"": ""motorcycle_school"", ""pluralName"": ""Мотошколы""}, {""id"": ""214421065055"", ""name"": ""автодром"", ""class"": ""racing"", ""seoname"": ""motordrome"", ""pluralName"": ""Автодромы""}]","[{""number"": ""+7 (905) 588-07-33"", ""type"": ""phone"", ""value"": ""+79055880733""}, {""number"": ""+7 (926) 634-00-01"", ""type"": ""phone"", ""value"": ""+79266340001""}]","[{""type"": ""youtube"", ""href"": ""https://www.youtube.com/channel/UCxEcXGib3g-mwzvHIIPawtA"", ""readableHref"": ""www.youtube.com/@UCxEcXGib3g-mwzvHIIPawtA""}, {""type"": ""whatsapp"", ""href"": ""https://wa.me/79266340001?text=%D0%9E%D0%B1%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%B8%D0%B5+%E2%84%96B53949017+%D0%B8%D0%B7+%D0%AF%D0%BD%D0%B4%D0%B5%D0%BA%D1%81+%D0%9A%D0%B0%D1%80%D1%82%0A%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!+%D0%9C%D0%B5%D0%BD%D1%8F+%D0%B7%D0%B0%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%B5%D1%81%D0%BE%D0%B2%D0%B0%D0%BB%D0%BE+%D0%B2%D0%B0%D1%88%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5"", ""readableHref"": ""+79266340001""}, {""type"": ""vkontakte"", ""href"": ""https://vk.com/avtoskola1msk"", ""readableHref"": ""vk.com/avtoskola1msk""}]","[""https://autonomer1.ru/?utm_campaign=maps_sh&utm_source=yandexmaps&yclid=6017179675972599807""]"
Мотошкола Неваляшка. Pro,"МКАД, 24-й километр, 1, посёлок Совхоза имени Ленина","[37.725289, 55.584191]",164485273196,"[{""id"": ""station__9858811"", ""name"": ""Домодедовская"", ""distance"": ""2,72 км"", ""distanceValue"": 2723.98, ""coordinates"": [37.71728059, 55.609875975], ""type"": ""metro"", ""color"": ""#3aa63a""}, {""id"": ""station__9858868"", ""name"": ""Орехово"", ""distance"": ""3,4 км"", ""distanceValue"": 3413.78, ""coordinates"": [37.695772324, 55.612271102], ""type"": ""metro"", ""color"": ""#3aa63a""}, {""id"": ""station__9858955"", ""name"": ""Зябликово"", ""distance"": ""3,8 км"", ""distanceValue"": 3766.13, ""coordinates"": [37.744856429, 55.611091467], ""type"": ""metro"", ""color"": ""#9fbf00""}]",этаж -2,motoshkola_nevalyashka_pro,"{""ratingCount"": 247, ""ratingValue"": 5, ""reviewCount"": 176}","[{""id"": ""132743426043"", ""name"": ""Мотошкола"", ""class"": ""driving school"", ""seoname"": ""motorcycle_school"", ""pluralName"": ""Мотошколы""}, {""id"": ""210249437949"", ""name"": ""мотодром"", ""class"": ""racing"", ""seoname"": ""motor_race_track"", ""pluralName"": ""Мотодромы""}]","[{""number"": ""+7 (963) 995-32-48"", ""type"": ""phone"", ""value"": ""+79639953248""}, {""number"": ""+7 (903) 722-12-66"", ""type"": ""phone"", ""value"": ""+79037221266""}]","[{""type"": ""vkontakte"", ""href"": ""https://vk.com/motonevalyashka"", ""readableHref"": ""vk.com/motonevalyashka""}, {""type"": ""whatsapp"", ""href"": ""https://wa.me/79037221266?text=%D0%9E%D0%B1%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%B8%D0%B5+%E2%84%96B3709461+%D0%B8%D0%B7+%D0%AF%D0%BD%D0%B4%D0%B5%D0%BA%D1%81+%D0%9A%D0%B0%D1%80%D1%82%0A%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!+%D0%9C%D0%B5%D0%BD%D1%8F+%D0%B7%D0%B0%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%B5%D1%81%D0%BE%D0%B2%D0%B0%D0%BB%D0%BE+%D0%B2%D0%B0%D1%88%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5"", ""readableHref"": ""+79037221266""}]",
Автошкола 177,"ул. Дмитрия Ульянова, 16КК1","[37.569899, 55.688322]",1625045233,"[{""id"": ""station__9858773"", ""name"": ""Академическая"", ""distance"": ""279 м"", ""distanceValue"": 279.556, ""coordinates"": [37.572404112, 55.687227912], ""type"": ""metro"", ""color"": ""#f28b24""}, {""id"": ""6632994918"", ""name"": ""Академическая"", ""distance"": ""360 м"", ""distanceValue"": 363.961, ""coordinates"": [37.574597928, 55.687069509], ""type"": ""metro"", ""color"": ""#177245""}, {""id"": ""station__9858893"", ""name"": ""Профсоюзная"", ""distance"": ""1,36 км"", ""distanceValue"": 1357.75, ""coordinates"": [37.563562262, 55.678919165], ""type"": ""metro"", ""color"": ""#f28b24""}]","Вход с торца здания, черное крыльцо, этаж 2",avtoshkola_177,"{""ratingCount"": 583, ""ratingValue"": 5, ""reviewCount"": 472}","[{""id"": ""184105264"", ""name"": ""Автошкола"", ""class"": ""driving school"", ""seoname"": ""driving_school"", ""pluralName"": ""Автошколы""}, {""id"": ""132743426043"", ""name"": ""мотошкола"", ""class"": ""driving school"", ""seoname"": ""motorcycle_school"", ""pluralName"": ""Мотошколы""}, {""id"": ""214421065055"", ""name"": ""автодром"", ""class"": ""racing"", ""seoname"": ""motordrome"", ""pluralName"": ""Автодромы""}]","[{""number"": ""+7 (965) 229-87-85"", ""type"": ""phone"", ""value"": ""+79652298785"", ""info"": ""Автошкола на Академической""}, {""number"": ""+7 (901) 259-95-33"", ""type"": ""phone"", ""value"": ""+79012599533""}]","[{""type"": ""vkontakte"", ""href"": ""https://vk.com/avtoschool177"", ""readableHref"": ""vk.com/avtoschool177""}, {""type"": ""telegram"", ""href"": ""https://t.me/Avtomoto177"", ""readableHref"": ""@Avtomoto177""}, {""type"": ""max"", ""href"": ""https://max.ru/u/f9LHodD0cOKy7hoKZRYpyuk1NE12TbjccvIvMWq_8jj8mibjtmWXs6fhPv8"", ""readableHref"": ""max.ru/u/f9LHodD0cOKy7hoKZRYpyuk1NE12TbjccvIvMWq_8jj8mibjtmWXs6fhPv8""}]","[""https://177-avtoshkola.ru/avtoshkola_177_na_metro_akademicheskaya/?utm_source=yandex&yclid=17330056985109856255""]"
Мотобаза.ру,"Центральная ул., 160Б, д. Жостово","[37.644158, 56.018703]",118253164662,,,motobaza_ru,"{""ratingCount"": 288, ""ratingValue"": 5, ""reviewCount"": 200}","[{""id"": ""132743426043"", ""name"": ""Мотошкола"", ""class"": ""driving school"", ""seoname"": ""motorcycle_school"", ""pluralName"": ""Мотошколы""}, {""id"": ""184108219"", ""name"": ""пункт проката"", ""class"": ""fallback services"", ""seoname"": ""rental"", ""pluralName"": ""Пункты проката""}, {""id"": ""1874584455"", ""name"": ""автоклуб, мотоклуб"", ""class"": ""auto"", ""seoname"": ""auto_club_motorcycle_club"", ""pluralName"": ""Автоклубы, мотоклубы""}]","[{""number"": ""+7 (965) 230-06-58"", ""type"": ""phone"", ""value"": ""+79652300658""}]","[{""type"": ""telegram"", ""href"": ""https://t.me/MOTOBAZA_RU"", ""readableHref"": ""@MOTOBAZA_RU""}, {""type"": ""vkontakte"", ""href"": ""https://vk.com/motobaza_ru"", ""readableHref"": ""vk.com/motobaza_ru""}, {""type"": ""youtube"", ""href"": ""https://www.youtube.com/channel/UCRS1Uz3WYPPqQgd7AQEduAQ/"", ""readableHref"": ""www.youtube.com/@UCRS1Uz3WYPPqQgd7AQEduAQ""}, {""type"": ""max"", ""href"": ""https://max.ru/u/f9LHodD0cOLvT84J15-Xo9HkDIJ1z1Sog8eixXDMKKqwav7E7gK0u3gNRlc"", ""readableHref"": ""max.ru/u/f9LHodD0cOLvT84J15-Xo9HkDIJ1z1Sog8eixXDMKKqwav7E7gK0u3gNRlc""}]","[""https://www.motobaza.ru/?yclid=18442912574391189503&utm_content=17768411362&utm_source=geoadv_maps""]"
